Date,Time of Day,Channel,Revenue,Average Order Size,Conversions,Customer Type,Sales Rep,Business
2023-01-18,Night,Facebook,489.29,135.39,5,New,Mark Elliott,Heritage Bakes
2023-02-05,Morning,Referral,366.79,102.91,3,Returning,Matthew Bartlett,Heritage Bakes
2023-10-21,Afternoon,Referral,375.82,350.5,20,New,Maria Campbell,Heritage Bakes
2023-08-29,Morning,Referral,320.74,172.9,6,New,Joanna Adkins,Heritage Bakes
2023-05-19,Night,Walk-in,95.19,21.16,1,New,Lisa Reed,Heritage Bakes
2023-05-14,Morning,Email,302.43,157.44,11,New,Jordan Calhoun MD,Heritage Bakes
2023-03-10,Evening,Facebook,320.79,211.02,8,New,Heather Thomas,Heritage Bakes
2023-07-25,Evening,Walk-in,29.67,15.62,0,Returning,Carrie Coffey,Heritage Bakes
2023-12-25,Morning,Google Ads,215.85,73.93,9,New,Dr. Isabel Smith PhD,Heritage Bakes
2023-01-10,Night,Google Ads,44.8,9.14,1,Returning,Joe Page,Heritage Bakes
2023-11-06,Morning,Facebook,234.89,106.17,6,New,Crystal Morales,Heritage Bakes
2023-09-15,Night,Walk-in,387.27,84.78,5,New,Heather Mcmahon,Heritage Bakes
2023-07-12,Night,Referral,422.89,100.14,5,New,Jason Quinn,Heritage Bakes
2023-12-02,Night,Walk-in,309.56,145.81,3,Returning,James Cox,Heritage Bakes
2023-10-06,Morning,Facebook,349.76,110.46,23,Returning,James Cummings,Heritage Bakes
2023-01-29,Morning,Walk-in,354.45,163.97,28,Returning,Daniel Lee,Heritage Bakes
2023-02-09,Night,Google Ads,118.94,38.96,1,Returning,Shane Hopkins,Heritage Bakes
2023-10-06,Night,Walk-in,275.56,133.18,13,Returning,Stephanie Kelley,Heritage Bakes
2023-04-02,Evening,Email,271.19,148.18,4,New,Jennifer Schneider,Heritage Bakes
2023-07-22,Morning,Email,15.36,3.35,0,Returning,Charles Rodriguez,Heritage Bakes
2023-11-27,Night,Referral,49.95,11.34,1,New,Elizabeth Wall,Heritage Bakes
2023-12-15,Morning,Email,17.36,6.48,0,Returning,Loretta Williams,Heritage Bakes
2023-03-27,Morning,Referral,362.38,77.06,3,Returning,Juan Moore,Heritage Bakes
2023-11-22,Night,Facebook,371.84,346.85,6,New,Joseph White,Heritage Bakes
2023-12-17,Afternoon,Google Ads,273.93,223.39,3,Returning,Michael Cruz,Heritage Bakes
2023-02-12,Morning,Instagram,196.5,48.95,4,New,Denise Reese,Heritage Bakes
2023-09-03,Morning,Google Ads,37.29,16.11,0,Returning,Brittney Morales,Heritage Bakes
2023-01-24,Night,Facebook,171.59,83.42,1,Returning,Christina Jenkins,Heritage Bakes
2023-07-02,Night,Walk-in,429.7,127.29,10,New,Sean Anderson,Heritage Bakes
2023-10-21,Morning,Walk-in,368.44,130.1,20,New,Emily Fitzpatrick,Heritage Bakes
2023-01-08,Evening,Email,395.15,106.71,11,Returning,Nancy Liu,Heritage Bakes
2023-10-28,Evening,Facebook,252.98,92.63,16,Returning,Rachel Miller,Heritage Bakes
2023-04-29,Evening,Email,398.37,153.07,14,New,Scott Brown,Heritage Bakes
2023-03-02,Morning,Referral,152.63,36.37,1,Returning,Emily Winters,Heritage Bakes
2023-05-17,Evening,Facebook,465.52,191.06,16,New,Chris Lewis,Heritage Bakes
2023-09-14,Morning,Google Ads,346.57,179.53,7,Returning,Heidi Blankenship,Heritage Bakes
2023-02-05,Morning,Facebook,250.32,78.9,4,New,Sandra Alvarez,Heritage Bakes
2023-08-29,Afternoon,Email,198.84,54.3,2,New,Donna Garcia,Heritage Bakes
2023-06-05,Morning,Walk-in,27.69,7.49,0,Returning,Stephanie Hernandez,Heritage Bakes
2023-06-22,Evening,Instagram,462.99,127.81,6,Returning,Joseph Montgomery,Heritage Bakes
2023-08-25,Afternoon,Referral,267.93,131.1,3,New,Juan Harrison,Heritage Bakes
2023-09-04,Afternoon,Instagram,315.13,166.23,11,New,Miss Stephanie Cherry,Heritage Bakes
2023-06-22,Afternoon,Instagram,233.62,73,2,New,Bridget Wallace,Heritage Bakes
2023-09-24,Evening,Email,413.99,165.43,20,New,Brandy James,Heritage Bakes
2023-08-08,Morning,Instagram,155.01,52.67,3,Returning,Christopher Smith,Heritage Bakes
2023-09-07,Night,Facebook,262.61,141.31,22,Returning,Sabrina Galvan,Heritage Bakes
2023-05-13,Night,Email,377.05,241.72,3,Returning,Catherine Shannon,Heritage Bakes
2023-06-04,Evening,Facebook,107.68,25.98,2,New,Theresa Knight,Heritage Bakes
2023-10-18,Afternoon,Instagram,283.71,71.81,4,Returning,Victoria Tanner,Heritage Bakes
2023-06-29,Morning,Google Ads,264.52,104.05,17,Returning,Chad Evans,Heritage Bakes
2023-05-25,Evening,Walk-in,458.12,146.92,8,New,Chase Haney,Heritage Bakes
2023-01-26,Night,Facebook,322.65,277.79,8,New,Maureen Nixon,Heritage Bakes
2023-11-24,Night,Referral,362.65,195.39,8,New,Michael Rush,Heritage Bakes
2023-08-06,Morning,Facebook,218.92,64.3,2,Returning,Larry Lloyd,Heritage Bakes
2023-11-22,Evening,Facebook,127.15,32.43,3,New,Steven Butler,Heritage Bakes
2023-03-16,Night,Instagram,309.68,103.11,7,New,Samuel Lee,Heritage Bakes
2023-01-26,Night,Facebook,93.92,69.09,1,New,Joseph Moon,Heritage Bakes
2023-09-29,Night,Email,397.44,127.01,15,New,Taylor Williams II,Heritage Bakes
2023-06-06,Morning,Instagram,181.2,43.58,11,Returning,Jerry Hamilton,Heritage Bakes
2023-06-27,Night,Instagram,373.92,201.19,30,New,Paul Wolf,Heritage Bakes
2023-04-25,Afternoon,Email,415.52,109.67,18,New,Bobby Arnold,Heritage Bakes
2023-10-21,Night,Email,436.12,110.3,4,Returning,William Weber,Heritage Bakes
2023-03-05,Evening,Referral,382.01,108.28,4,New,Alicia James,Heritage Bakes
2023-04-26,Afternoon,Google Ads,432.84,102.58,13,New,Jamie Johnson,Heritage Bakes
2023-10-23,Morning,Google Ads,387.92,78.07,11,Returning,Melissa Rogers,Heritage Bakes
2023-07-10,Evening,Referral,31.29,7.18,0,Returning,Sarah Mueller,Heritage Bakes
2023-06-17,Night,Google Ads,197.12,64.78,4,Returning,Gordon Hahn,Heritage Bakes
2023-08-22,Night,Facebook,462.33,96.96,11,New,Kristen Burns,Heritage Bakes
2023-05-01,Evening,Instagram,216.63,71.63,2,New,Thomas Sellers,Heritage Bakes
2023-01-26,Evening,Google Ads,295.9,290.46,4,Returning,Melvin Flores,Heritage Bakes
2023-02-28,Afternoon,Facebook,132.96,54.35,2,Returning,Ashley Cochran,Heritage Bakes
2023-09-06,Night,Referral,334.88,245.52,14,Returning,Ashley Jones,Heritage Bakes
2023-11-05,Evening,Email,475.65,452.65,10,Returning,Christian Solis,Heritage Bakes
2023-10-09,Evening,Referral,37.04,16.78,1,Returning,Sharon Smith,Heritage Bakes
2023-03-24,Morning,Facebook,135.1,78.44,1,Returning,Robert Berg,Heritage Bakes
2023-06-16,Afternoon,Google Ads,222.89,85.38,7,Returning,Brooke Sims,Heritage Bakes
2023-12-29,Morning,Instagram,86.3,29.54,3,Returning,Julia Marks,Heritage Bakes
2023-03-29,Morning,Referral,392.05,129.85,8,New,Ashley Martinez,Heritage Bakes
2023-08-22,Evening,Google Ads,241.53,138.14,5,Returning,Christina Reese,Heritage Bakes
2023-04-17,Evening,Instagram,30.89,9.99,2,New,Brandon Bean,Heritage Bakes
2023-04-23,Evening,Referral,372.68,113.99,15,New,Rickey Hall,Heritage Bakes
2023-02-05,Afternoon,Facebook,31.99,11.32,0,New,Bobby Flores,Heritage Bakes
2023-08-24,Night,Facebook,25.12,7.87,1,New,Karen Gonzalez,Heritage Bakes
2023-06-16,Afternoon,Email,17.92,3.64,1,Returning,Lisa Lopez MD,Heritage Bakes
2023-11-12,Evening,Email,188.95,62.91,2,New,Sharon Brown,Heritage Bakes
2023-06-13,Morning,Facebook,69.43,15.31,3,New,Aaron Thompson,Heritage Bakes
2023-01-16,Afternoon,Email,223.48,195.45,2,New,Charles Weaver,Heritage Bakes
2023-03-31,Morning,Referral,470.92,189.3,29,Returning,Melissa Warner,Heritage Bakes
2023-12-14,Evening,Instagram,491.79,152.56,5,Returning,Cody Morris,Heritage Bakes
2023-05-29,Evening,Facebook,487.93,177.52,45,New,Carla Reid DDS,Heritage Bakes
2023-01-21,Afternoon,Email,115.36,66.97,1,Returning,Katie Mitchell,Heritage Bakes
2023-02-22,Afternoon,Walk-in,349.52,74.92,15,Returning,Roger Moss,Heritage Bakes
2023-10-29,Night,Facebook,35.07,8.82,0,New,Mary Donaldson,Heritage Bakes
2023-04-02,Afternoon,Email,75.12,29.67,4,Returning,Paul Brown,Heritage Bakes
2023-01-30,Evening,Instagram,194.79,107.31,2,New,Gregory Quinn,Heritage Bakes
2023-06-05,Night,Email,20.83,12.32,0,New,Sabrina Miller,Heritage Bakes
2023-07-29,Afternoon,Referral,44.65,19.34,0,New,Michelle Smith,Heritage Bakes
2023-08-28,Morning,Referral,159.85,65.2,1,New,Anita Chapman,Heritage Bakes
2023-08-24,Morning,Google Ads,88.11,24.4,2,New,Heather Becker,Heritage Bakes
2023-08-05,Morning,Walk-in,311.34,65.74,7,New,Andrea Baker,Heritage Bakes
2023-11-26,Afternoon,Email,283.42,69.14,5,Returning,Joanne Harmon,Heritage Bakes
2023-07-19,Night,Referral,477.67,104.82,5,New,Mr. Phillip Edwards,Heritage Bakes
2023-02-05,Morning,Instagram,169.91,56.89,2,New,Mrs. Laurie Williams MD,Heritage Bakes
2023-12-10,Night,Google Ads,221.4,149.86,16,Returning,Joel Mclean,Heritage Bakes
2023-12-29,Morning,Instagram,255.86,117.05,20,Returning,Valerie Ford,Heritage Bakes
2023-05-29,Night,Instagram,200.54,50.88,9,Returning,Jodi Thomas,Heritage Bakes
2023-05-05,Afternoon,Referral,337.87,76.46,3,Returning,Jennifer Johnson,Heritage Bakes
2023-01-12,Morning,Google Ads,300.8,79.7,4,New,Eugene Fritz,Heritage Bakes
2023-05-31,Night,Facebook,133.94,50.31,1,New,Jennifer Smith,Heritage Bakes
2023-07-11,Evening,Walk-in,286.81,196.51,3,New,Mary Thompson,Heritage Bakes
2023-10-07,Afternoon,Referral,391.79,107.65,4,Returning,Catherine Davis,Heritage Bakes
2023-02-06,Morning,Email,499.82,406.96,5,New,Chris Rogers,Heritage Bakes
2023-02-12,Afternoon,Email,27.05,11.93,0,New,James Torres,Heritage Bakes
2023-11-28,Night,Walk-in,108.29,41.41,3,New,Kirsten Perez,Heritage Bakes
2023-01-20,Afternoon,Instagram,163.38,42.56,5,Returning,Dr. Jeffrey Valentine,Heritage Bakes
2023-05-14,Night,Google Ads,95.84,36.62,1,Returning,Wayne Brown,Heritage Bakes
2023-02-04,Afternoon,Google Ads,399.86,137,6,Returning,Andrea Morris,Heritage Bakes
2023-09-25,Afternoon,Walk-in,79.05,16.51,0,Returning,Dylan Young,Heritage Bakes
2023-08-09,Afternoon,Google Ads,276.03,72.85,3,Returning,Regina Butler,Heritage Bakes
2023-10-21,Night,Email,342.06,145.75,3,New,Eric Moore,Heritage Bakes
2023-03-12,Morning,Email,178.01,94.31,14,New,Melinda Patterson,Heritage Bakes
2023-12-16,Afternoon,Referral,251.79,94.96,3,Returning,Carl Campbell,Heritage Bakes
2023-05-25,Morning,Facebook,358.07,103.28,20,New,Renee Shields,Heritage Bakes
2023-08-30,Evening,Facebook,159.89,114.75,11,New,Wesley Brown,Heritage Bakes
2023-01-09,Evening,Referral,422.47,213.91,8,New,Jason Clark,Heritage Bakes
2023-12-18,Morning,Google Ads,138.28,35.52,6,Returning,David Wiggins,Heritage Bakes
2023-02-22,Morning,Instagram,299.74,271.59,7,New,Thomas Kaufman,Heritage Bakes
2023-06-01,Evening,Facebook,438.58,136.6,26,New,Kristen Ray,Heritage Bakes
2023-02-23,Evening,Facebook,345.85,133.11,4,New,Cory Martinez,Heritage Bakes
2023-08-04,Afternoon,Referral,273.56,56.37,4,Returning,Mark Maddox,Heritage Bakes
2023-09-03,Night,Google Ads,317.74,142.88,8,New,Kevin Young,Heritage Bakes
2023-11-25,Evening,Referral,85.59,35.76,4,Returning,Katherine Harrison,Heritage Bakes
2023-01-04,Afternoon,Referral,485.31,101.35,5,New,Jorge Davis,Heritage Bakes
2023-08-25,Afternoon,Instagram,328.44,95.56,7,Returning,Loretta Miller,Heritage Bakes
2023-05-09,Evening,Email,458.02,108.15,9,Returning,Lance Macdonald DVM,Heritage Bakes
2023-06-20,Morning,Referral,286.03,237.37,4,Returning,Jerry Waters,Heritage Bakes
2023-04-11,Night,Referral,390,126.02,5,New,Desiree Thomas,Heritage Bakes
2023-05-04,Afternoon,Email,373.91,86.16,6,New,Amy Wright,Heritage Bakes
2023-04-05,Afternoon,Instagram,146.89,36.15,1,Returning,Erin Summers,Heritage Bakes
2023-04-15,Evening,Facebook,135.92,65.1,1,Returning,Mr. Don Flores,Heritage Bakes
2023-06-16,Evening,Email,363.7,194.74,6,New,Miss Kimberly Holloway,Heritage Bakes
2023-01-11,Night,Instagram,262,70.38,3,New,Tina Harper,Heritage Bakes
2023-06-02,Night,Google Ads,83.07,74.64,3,New,Nicholas Moss,Heritage Bakes
2023-10-14,Evening,Facebook,393.79,116,10,Returning,Robert Campbell,Heritage Bakes
2023-09-27,Morning,Email,215.47,68.17,5,Returning,Jenny Cardenas,Heritage Bakes
2023-06-12,Morning,Referral,214.29,46.75,14,New,Dean Thomas,Heritage Bakes
2023-03-08,Afternoon,Email,314.57,64.78,6,Returning,Matthew Farmer,Heritage Bakes
2023-10-27,Morning,Email,428.95,94.33,8,Returning,John Browning,Heritage Bakes
2023-01-06,Morning,Google Ads,182.4,124.82,4,Returning,Mario Peters,Heritage Bakes
2023-07-27,Morning,Email,42.95,22.36,0,Returning,Olivia Rodriguez,Heritage Bakes
2023-05-25,Evening,Google Ads,383.86,86.55,8,Returning,Donald Mccarthy,Heritage Bakes
2023-05-13,Night,Instagram,36.48,17.17,0,New,Christopher Anderson,Heritage Bakes
2023-06-26,Evening,Google Ads,313.22,101.04,6,New,Becky Parrish,Heritage Bakes
2023-11-20,Night,Email,127.37,77.07,1,Returning,Jackie Stewart,Heritage Bakes
2023-07-05,Night,Google Ads,111.86,45.73,1,New,Krista Fuller,Heritage Bakes
2023-02-22,Morning,Email,302.33,82.57,5,Returning,Jennifer Nguyen,Heritage Bakes
2023-06-26,Night,Facebook,194.35,63.59,3,Returning,Amanda Campbell,Heritage Bakes
2023-12-06,Morning,Instagram,493.77,200.06,32,Returning,Laura Ware,Heritage Bakes
2023-02-01,Night,Google Ads,401.48,145.37,8,New,Mitchell Anderson,Heritage Bakes
2023-09-06,Morning,Email,165.09,55.38,4,Returning,Barry Hernandez,Heritage Bakes
2023-07-19,Evening,Walk-in,207.28,127.23,4,New,Teresa Young,Heritage Bakes
2023-09-21,Morning,Email,387.67,325.17,4,New,Valerie Morgan,Heritage Bakes
2023-07-27,Afternoon,Google Ads,264.14,105.62,3,Returning,Paul Vasquez,Heritage Bakes
2023-05-25,Morning,Referral,214.32,94.13,4,New,Kelly May,Heritage Bakes
2023-06-21,Evening,Email,218.32,165.05,13,New,Christopher Carson,Heritage Bakes
2023-12-25,Morning,Email,384.19,141.27,18,Returning,Joan Wilson,Heritage Bakes
2023-01-05,Night,Google Ads,79.1,24.61,5,New,Debbie Allen,Heritage Bakes
2023-02-17,Night,Email,434.63,151.29,8,New,Kristin Williams,Heritage Bakes
2023-07-25,Afternoon,Instagram,144.85,31.52,1,New,Courtney Williams,Heritage Bakes
2023-08-22,Afternoon,Email,222.19,111.49,4,Returning,David Hernandez,Heritage Bakes
2023-07-01,Morning,Google Ads,298.6,118.09,28,New,Kathryn Morris,Heritage Bakes
2023-11-26,Evening,Walk-in,107.17,52.71,1,Returning,Meagan Smith,Heritage Bakes
2023-12-31,Afternoon,Referral,142.59,39.93,1,Returning,Katherine Caldwell,Heritage Bakes
2023-04-16,Night,Referral,450.72,133.78,15,New,Krista Williams,Heritage Bakes
2023-11-05,Morning,Instagram,54,13.92,2,New,Christine Aguilar,Heritage Bakes
2023-07-29,Afternoon,Walk-in,425.2,294.33,8,Returning,Michael Perkins,Heritage Bakes
2023-03-22,Evening,Instagram,303.37,97.08,3,New,Steven Martin,Heritage Bakes
2023-01-21,Afternoon,Referral,453.09,292.48,5,Returning,Joshua Herman,Heritage Bakes
2023-04-19,Afternoon,Google Ads,330.04,266.6,22,New,Diana Hawkins,Heritage Bakes
2023-07-28,Morning,Google Ads,146.84,41.76,2,Returning,Caitlin Harris,Heritage Bakes
2023-02-12,Afternoon,Google Ads,67.2,35.75,1,Returning,Felicia Murphy,Heritage Bakes
2023-02-23,Morning,Facebook,98.96,33.65,1,New,Bryan Mitchell,Heritage Bakes
2023-03-18,Afternoon,Facebook,193.73,142,3,Returning,Larry Curtis,Heritage Bakes
2023-06-26,Afternoon,Referral,169.54,54.83,1,Returning,Jennifer Lopez,Heritage Bakes
2023-06-16,Afternoon,Referral,197.02,49.23,3,Returning,Robert Newton,Heritage Bakes
2023-06-20,Afternoon,Google Ads,64.69,20.59,5,Returning,Christina Hudson,Heritage Bakes
2023-12-29,Evening,Facebook,30.06,6.51,0,Returning,Sandra Craig,Heritage Bakes
2023-09-11,Night,Walk-in,409.57,87.49,6,Returning,Sabrina Ward,Heritage Bakes
2023-04-21,Night,Email,114.79,48.1,2,New,Mark Knight,Heritage Bakes
2023-05-29,Morning,Google Ads,286.6,72.46,2,New,Darlene Dixon,Heritage Bakes
2023-04-24,Afternoon,Google Ads,247.99,160.5,3,Returning,Daniel White,Heritage Bakes
2023-01-23,Evening,Email,301.75,64.05,18,New,Jonathan Cortez,Heritage Bakes
2023-03-15,Morning,Instagram,361.19,113.62,6,New,Judith Myers,Heritage Bakes
2023-02-11,Morning,Google Ads,497.95,120.67,43,New,Tammie Castillo,Heritage Bakes
2023-04-08,Night,Facebook,293.37,220.25,24,New,Rebecca Estrada,Heritage Bakes
2023-05-14,Night,Walk-in,134.63,33.83,1,New,Angela Rodriguez,Heritage Bakes
2023-04-13,Morning,Facebook,435.19,177.47,31,New,Andre Williams,Heritage Bakes
2023-06-05,Morning,Referral,297.02,99.01,3,New,Donald Smith,Heritage Bakes
2023-11-08,Night,Referral,390.54,100.58,10,New,Nicholas Ali,Heritage Bakes
2023-10-13,Night,Email,489.15,456.34,6,Returning,Jacob Brewer,Heritage Bakes
2023-10-13,Morning,Walk-in,315.42,68.62,9,New,Natalie Watson,Heritage Bakes
2023-06-13,Afternoon,Email,206.51,55.95,2,Returning,Matthew Evans,Heritage Bakes
2023-07-15,Night,Referral,115.83,68.15,1,Returning,Bryan Thomas,Heritage Bakes
2023-08-19,Evening,Walk-in,181.13,43.45,2,Returning,Timothy Lucero,Heritage Bakes
2023-05-25,Evening,Google Ads,59.35,12.41,1,New,Barbara Fields,Heritage Bakes
